frameId,frameName,owner,text,property,actual,referenceOptions,status,browser,design
mZMB8,1C. Desktop light · Start,session 06,Start,font-size,12px,13px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/mZMB8-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/mZMB8.png
mZMB8,1C. Desktop light · Start,session 06,Plan first,font-size,12px,13px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/mZMB8-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/mZMB8.png
mZMB8,1C. Desktop light · Start,session 06,Start task,font-size,16px,14px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/mZMB8-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/mZMB8.png
Pusy6,1D. Desktop dark · Start,session 06,New task,font-size,11px,13px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,New task,font-weight,600,400|500,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,What should the agent work on?,font-size,28px,30px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,Template,font-weight,500,400,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,Skill,font-size,11.5px,12px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,Control where and how this task runs.,line-height,16.5px,18px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,"Changes stay in their own worktree, separate from your working directory.",line-height,20px,19px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,Start,font-size,12px,13px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,Plan first,font-size,12px,13px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
Pusy6,1D. Desktop dark · Start,session 06,Start task,font-size,16px,14px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png
cgGWE,2A. Task session · Desktop light,session 06,Audit done. No code changes.,font-size,17.25px,20px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/cgGWE-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/cgGWE.png
cgGWE,2A. Task session · Desktop light,session 06,Continue,font-size,16px,14px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/cgGWE-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/cgGWE.png
igwKt,2B. Task session · Desktop dark,session 06,Audit done. No code changes.,font-size,17.25px,20px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/igwKt-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/igwKt.png
igwKt,2B. Task session · Desktop dark,session 06,Continue,font-size,16px,14px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/igwKt-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/igwKt.png
gVXYn,2C. Task session · Mobile light,session 06,Audit done. No code changes.,font-size,17.25px,18px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/gVXYn-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/gVXYn.png
gVXYn,2C. Task session · Mobile light,session 06,Audit done. No code changes.,line-height,23px,25px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/gVXYn-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/gVXYn.png
gVXYn,2C. Task session · Mobile light,session 06,Continue,font-size,16px,14px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/gVXYn-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/gVXYn.png
nu4S5,2D. Task session · Mobile dark,session 06,Audit done. No code changes.,font-size,17.25px,18px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/nu4S5-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/nu4S5.png
nu4S5,2D. Task session · Mobile dark,session 06,Audit done. No code changes.,line-height,23px,25px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/nu4S5-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/nu4S5.png
nu4S5,2D. Task session · Mobile dark,session 06,Continue,font-size,16px,14px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/nu4S5-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/nu4S5.png
HcGEf,4A. Project tasks · Desktop light,tasks 445,Project tasks,font-size,28px,13px|30px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/HcGEf-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/HcGEf.png
HcGEf,4A. Project tasks · Desktop light,tasks 445,Archive finished,font-size,12.5px,12px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/HcGEf-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/HcGEf.png
HcGEf,4A. Project tasks · Desktop light,tasks 445,Archive finished,font-weight,600,500,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/HcGEf-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/HcGEf.png
rstLr,4C. Project tasks · Mobile light,tasks 445,Project tasks,font-size,24px,25px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/rstLr-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/rstLr.png
rstLr,4C. Project tasks · Mobile light,tasks 445,Project tasks,line-height,36px,30px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/rstLr-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/rstLr.png
rstLr,4C. Project tasks · Mobile light,tasks 445,Archive finished,font-size,12.5px,12px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/rstLr-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/rstLr.png
rstLr,4C. Project tasks · Mobile light,tasks 445,Archive finished,font-weight,600,500,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/rstLr-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/rstLr.png
FsD5O,4B. Project tasks · Desktop dark,tasks 445,Project tasks,font-size,28px,13px|30px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/FsD5O-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/FsD5O.png
FsD5O,4B. Project tasks · Desktop dark,tasks 445,Archive finished,font-size,12.5px,12px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/FsD5O-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/FsD5O.png
FsD5O,4B. Project tasks · Desktop dark,tasks 445,Archive finished,font-weight,600,500,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/FsD5O-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/FsD5O.png
x3GLa,4D. Project tasks · Mobile dark,tasks 445,Project tasks,font-size,24px,25px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x3GLa-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x3GLa.png
x3GLa,4D. Project tasks · Mobile dark,tasks 445,Project tasks,line-height,36px,30px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x3GLa-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x3GLa.png
x3GLa,4D. Project tasks · Mobile dark,tasks 445,Archive finished,font-size,12.5px,12px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x3GLa-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x3GLa.png
x3GLa,4D. Project tasks · Mobile dark,tasks 445,Archive finished,font-weight,600,500,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x3GLa-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x3GLa.png
c1EQa,5A. All tasks · Desktop light,tasks 445,All tasks,font-size,28px,13px|30px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/c1EQa-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/c1EQa.png
dVuKR,5C. All tasks · Mobile light,tasks 445,All tasks,font-size,24px,25px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/dVuKR-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/dVuKR.png
dVuKR,5C. All tasks · Mobile light,tasks 445,All tasks,line-height,36px,30px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/dVuKR-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/dVuKR.png
T5Xpa,5B. All tasks · Desktop dark,tasks 445,All tasks,font-size,28px,13px|30px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/T5Xpa-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/T5Xpa.png
tQmNd,5D. All tasks · Mobile dark,tasks 445,All tasks,font-size,24px,25px,candidate difference: exact text match; inspect per-node context before changing,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/tQmNd-browser.png,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/tQmNd.png
